Intervalo,VP,SP,SC
355.926,3684,3684,4518
356.748,3684,3684,4518
357.57,3686,3684,4515
358.392,3686,3684,4515
359.214,3685,3684,4518
360.036,3685,3684,4518
360.858,3686,3684,4519
361.68,3685,3684,4518
362.502,3686,3684,4518
363.324,3685,3684,4518
364.146,3685,3684,4518
364.968,3684,3684,4519
365.79,3684,3684,4519
366.612,3684,3684,4519
367.434,3684,3684,4519
368.256,3684,3684,4519
369.078,3684,3684,4519
369.9,3684,3684,4519
370.722,3684,3684,4519
371.544,3684,3684,4519
372.366,3684,3684,4519
373.188,3683,3684,4519
374.01,3683,3684,4520
374.832,3684,3684,4519
375.654,3684,3684,4519
376.476,3683,3684,4520
377.298,3683,3684,4520
378.12,3683,3684,4519
378.942,3688,3684,4520
379.764,3683,3684,4519
380.586,3683,3684,4520
381.408,3683,3684,4520
382.23,3682,3684,4520
383.052,3683,3684,4520
383.874,3682,3684,4520
384.696,3682,3684,4520
385.518,3685,3684,4512
386.34,3681,3684,4512
387.162,3682,3684,4520
387.984,3686,3684,4520
388.806,3681,3684,4519
389.628,3682,3684,4520
390.45,3682,3684,4521
391.272,3682,3684,4521
392.094,3682,3684,4521
392.916,3681,3684,4520
393.738,3681,3684,4520
394.56,3681,3684,4520
395.382,3681,3684,4521
396.204,3681,3684,4521
397.026,3681,3684,4521
397.848,3680,3684,4521
398.67,3681,3684,4516
399.492,3681,3684,4516
400.314,3682,3684,4521
401.136,3682,3684,4521
401.958,3682,3684,4516
402.78,3682,3684,4516
403.602,3682,3684,4521
404.424,3682,3684,4521
405.246,3682,3684,4521
406.068,3682,3684,4521
406.89,3682,3684,4521
407.712,3682,3684,4521
408.534,3682,3684,4521
409.356,3682,3684,4521
410.178,3682,3684,4521
411.0,3682,3684,4522
