Nome do data point,Tempo,Valor,Processado,Comentario
uno - SP,2024-09-09 19:10:59,46.781056,46.781056,
uno - SP,2024-09-09 19:10:59,46.585728,46.585728,
uno - SP,2024-09-09 19:10:59,43.851136,43.851136,
uno - SP,2024-09-09 19:10:59,46.87872,46.87872,
uno - SP,2024-09-09 19:11:00,46.781056,46.781056,
uno - SP,2024-09-09 19:11:00,47.171712,47.171712,
uno - SP,2024-09-09 19:11:00,43.753472,43.753472,
uno - SP,2024-09-09 19:11:00,46.87872,46.87872,
uno - SP,2024-09-09 19:11:00,44.241792,44.241792,
uno - SP,2024-09-09 19:11:01,47.171712,47.171712,
uno - SP,2024-09-09 19:11:01,43.46048,43.46048,
uno - SP,2024-09-09 19:11:01,46.87872,46.87872,
uno - SP,2024-09-09 19:11:01,44.046464,44.046464,
uno - SP,2024-09-09 19:11:01,43.9488,43.9488,
uno - SP,2024-09-09 19:11:02,47.171712,47.171712,
uno - SP,2024-09-09 19:11:02,46.976384,46.976384,
uno - SP,2024-09-09 19:11:02,47.464704,47.464704,
uno - SP,2024-09-09 19:11:02,45.804416,45.804416,
uno - SP,2024-09-09 19:11:02,48.734336,48.734336,
uno - SP,2024-09-09 19:11:03,43.655808,43.655808,
uno - SP,2024-09-09 19:11:03,46.683392,46.683392,
uno - SP,2024-09-09 19:11:03,46.781056,46.781056,
uno - SP,2024-09-09 19:11:03,45.218432,45.218432,
uno - SP,2024-09-09 19:11:03,46.781056,46.781056,
uno - SP,2024-09-09 19:11:04,46.976384,46.976384,
uno - SP,2024-09-09 19:11:04,46.683392,46.683392,
uno - SP,2024-09-09 19:11:04,46.195072,46.195072,
uno - SP,2024-09-09 19:11:04,47.36704,47.36704,
uno - SP,2024-09-09 19:11:04,43.46048,43.46048,
uno - SP,2024-09-09 19:11:05,46.488064,46.488064,
uno - SP,2024-09-09 19:11:05,46.976384,46.976384,
uno - SP,2024-09-09 19:11:05,46.87872,46.87872,
uno - SP,2024-09-09 19:11:05,47.171712,47.171712,
uno - SP,2024-09-09 19:11:05,47.074048,47.074048,
uno - SP,2024-09-09 19:11:06,46.3904,46.3904,
uno - SP,2024-09-09 19:11:06,46.781056,46.781056,
uno - SP,2024-09-09 19:11:06,46.585728,46.585728,
uno - SP,2024-09-09 19:11:06,43.362816,43.362816,
uno - SP,2024-09-09 19:11:06,46.585728,46.585728,
uno - SP,2024-09-09 19:11:07,46.683392,46.683392,
uno - SP,2024-09-09 19:11:07,46.488064,46.488064,
uno - SP,2024-09-09 19:11:07,43.558144,43.558144,
uno - SP,2024-09-09 19:11:07,43.265152,43.265152,
uno - SP,2024-09-09 19:11:07,44.241792,44.241792,
uno - SP,2024-09-09 19:11:08,47.171712,47.171712,
uno - SP,2024-09-09 19:11:08,43.167488,43.167488,
uno - SP,2024-09-09 19:11:08,46.585728,46.585728,
uno - SP,2024-09-09 19:11:08,43.558144,43.558144,
uno - SP,2024-09-09 19:11:08,45.804416,45.804416,
uno - SP,2024-09-09 19:11:09,46.683392,46.683392,
uno - SP,2024-09-09 19:11:09,43.167488,43.167488,
uno - SP,2024-09-09 19:11:09,46.195072,46.195072,
uno - SP,2024-09-09 19:11:09,45.90208,45.90208,
uno - SP,2024-09-09 19:11:09,46.976384,46.976384,
uno - SP,2024-09-09 19:11:10,46.488064,46.488064,
uno - SP,2024-09-09 19:11:10,46.195072,46.195072,
uno - SP,2024-09-09 19:11:10,46.585728,46.585728,
uno - SP,2024-09-09 19:11:10,46.292736,46.292736,
uno - SP,2024-09-09 19:11:10,43.167488,43.167488,
uno - SP,2024-09-09 19:11:11,46.87872,46.87872,
uno - SP,2024-09-09 19:11:11,43.851136,43.851136,
uno - SP,2024-09-09 19:11:11,43.265152,43.265152,
uno - SP,2024-09-09 19:11:11,46.195072,46.195072,
uno - SP,2024-09-09 19:11:11,43.265152,43.265152,
uno - SP,2024-09-09 19:11:12,46.781056,46.781056,
uno - SP,2024-09-09 19:11:12,42.776832,42.776832,
uno - SP,2024-09-09 19:11:12,42.97216,42.97216,
uno - SP,2024-09-09 19:11:12,43.167488,43.167488,
uno - SP,2024-09-09 19:11:12,43.265152,43.265152,
uno - SP,2024-09-09 19:11:13,46.292736,46.292736,
uno - SP,2024-09-09 19:11:13,46.585728,46.585728,
uno - SP,2024-09-09 19:11:13,42.97216,42.97216,
uno - SP,2024-09-09 19:11:13,45.999744,45.999744,
uno - SP,2024-09-09 19:11:13,46.097408,46.097408,
uno - SP,2024-09-09 19:11:14,46.292736,46.292736,
uno - SP,2024-09-09 19:11:14,46.3904,46.3904,
uno - SP,2024-09-09 19:11:14,45.90208,45.90208,
uno - SP,2024-09-09 19:11:14,46.097408,46.097408,
uno - SP,2024-09-09 19:11:14,46.3904,46.3904,
uno - SP,2024-09-09 19:11:15,43.069824,43.069824,
uno - SP,2024-09-09 19:11:15,46.488064,46.488064,
uno - SP,2024-09-09 19:11:15,45.999744,45.999744,
uno - SP,2024-09-09 19:11:15,46.3904,46.3904,
uno - SP,2024-09-09 19:11:15,42.97216,42.97216,
uno - SP,2024-09-09 19:11:16,42.874496,42.874496,
uno - SP,2024-09-09 19:11:16,43.46048,43.46048,
uno - SP,2024-09-09 19:11:16,46.195072,46.195072,
uno - SP,2024-09-09 19:11:16,46.292736,46.292736,
uno - SP,2024-09-09 19:11:16,42.97216,42.97216,
uno - SP,2024-09-09 19:11:17,43.265152,43.265152,
uno - SP,2024-09-09 19:11:17,45.609088,45.609088,
uno - SP,2024-09-09 19:11:17,42.776832,42.776832,
uno - SP,2024-09-09 19:11:17,42.97216,42.97216,
uno - SP,2024-09-09 19:11:18,43.655808,43.655808,
uno - SP,2024-09-09 19:11:18,42.581504,42.581504,
uno - SP,2024-09-09 19:11:18,46.195072,46.195072,
uno - SP,2024-09-09 19:11:18,42.97216,42.97216,
uno - SP,2024-09-09 19:11:18,46.292736,46.292736,
uno - SP,2024-09-09 19:11:19,46.097408,46.097408,
uno - SP,2024-09-09 19:11:19,42.679168,42.679168,
uno - SP,2024-09-09 19:11:19,46.781056,46.781056,
uno - SP,2024-09-09 19:11:19,42.97216,42.97216,
uno - SP,2024-09-09 19:11:19,45.511424,45.511424,
uno - SP,2024-09-09 19:11:20,42.581504,42.581504,
uno - SP,2024-09-09 19:11:20,46.87872,46.87872,
uno - SP,2024-09-09 19:11:20,46.292736,46.292736,
uno - SP,2024-09-09 19:11:20,46.3904,46.3904,
uno - SP,2024-09-09 19:11:20,42.581504,42.581504,
uno - SP,2024-09-09 19:11:21,46.097408,46.097408,
uno - SP,2024-09-09 19:11:21,45.706752,45.706752,
uno - SP,2024-09-09 19:11:21,43.851136,43.851136,
uno - SP,2024-09-09 19:11:21,42.679168,42.679168,
uno - SP,2024-09-09 19:11:21,47.269376,47.269376,
uno - SP,2024-09-09 19:11:22,45.90208,45.90208,
uno - SP,2024-09-09 19:11:22,43.167488,43.167488,
uno - SP,2024-09-09 19:11:22,46.3904,46.3904,
uno - SP,2024-09-09 19:11:22,42.776832,42.776832,
uno - SP,2024-09-09 19:11:22,46.097408,46.097408,
uno - SP,2024-09-09 19:11:23,43.069824,43.069824,
uno - SP,2024-09-09 19:11:23,45.120768,45.120768,
uno - SP,2024-09-09 19:11:23,42.581504,42.581504,
uno - SP,2024-09-09 19:11:23,46.488064,46.488064,
uno - SP,2024-09-09 19:11:23,46.3904,46.3904,
uno - SP,2024-09-09 19:11:24,45.609088,45.609088,
uno - SP,2024-09-09 19:11:24,42.581504,42.581504,
uno - SP,2024-09-09 19:11:24,42.679168,42.679168,
uno - SP,2024-09-09 19:11:24,45.999744,45.999744,
uno - SP,2024-09-09 19:11:25,46.781056,46.781056,
uno - SP,2024-09-09 19:11:25,46.585728,46.585728,
uno - SP,2024-09-09 19:11:25,46.097408,46.097408,
uno - SP,2024-09-09 19:11:25,43.753472,43.753472,
uno - SP,2024-09-09 19:11:25,46.195072,46.195072,
uno - SP,2024-09-09 19:11:26,42.776832,42.776832,
uno - SP,2024-09-09 19:11:26,45.706752,45.706752,
uno - SP,2024-09-09 19:11:26,43.167488,43.167488,
uno - SP,2024-09-09 19:11:26,45.218432,45.218432,
uno - SP,2024-09-09 19:11:26,42.679168,42.679168,
uno - SP,2024-09-09 19:11:27,42.776832,42.776832,
uno - SP,2024-09-09 19:11:27,46.097408,46.097408,
uno - SP,2024-09-09 19:11:27,46.683392,46.683392,
uno - SP,2024-09-09 19:11:27,42.679168,42.679168,
uno - SP,2024-09-09 19:11:28,44.730112,44.730112,
uno - SP,2024-09-09 19:11:28,45.316096,45.316096,
uno - SP,2024-09-09 19:11:28,42.48384,42.48384,
uno - SP,2024-09-09 19:11:29,42.874496,42.874496,
uno - SP,2024-09-09 19:11:29,45.706752,45.706752,
uno - SP,2024-09-09 19:11:29,45.120768,45.120768,
uno - SP,2024-09-09 19:11:29,46.097408,46.097408,
uno - SP,2024-09-09 19:11:29,42.679168,42.679168,
uno - SP,2024-09-09 19:11:30,42.190848,42.190848,
uno - SP,2024-09-09 19:11:30,46.585728,46.585728,
uno - SP,2024-09-09 19:11:30,45.999744,45.999744,
uno - SP,2024-09-09 19:11:31,45.804416,45.804416,
uno - SP,2024-09-09 19:11:31,42.581504,42.581504,
uno - SP,2024-09-09 19:11:31,46.292736,46.292736,
uno - SP,2024-09-09 19:11:31,44.534784,44.534784,
uno - SP,2024-09-09 19:11:31,45.90208,45.90208,
uno - SP,2024-09-09 19:11:32,42.386176,42.386176,
uno - SP,2024-09-09 19:11:32,42.679168,42.679168,
uno - SP,2024-09-09 19:11:32,42.874496,42.874496,
uno - SP,2024-09-09 19:11:32,44.827776,44.827776,
uno - SP,2024-09-09 19:11:32,46.097408,46.097408,
uno - SP,2024-09-09 19:11:33,45.90208,45.90208,
uno - SP,2024-09-09 19:11:33,42.776832,42.776832,
uno - SP,2024-09-09 19:11:33,42.97216,42.97216,
uno - SP,2024-09-09 19:11:33,45.218432,45.218432,
uno - SP,2024-09-09 19:11:33,45.804416,45.804416,
uno - SP,2024-09-09 19:11:34,46.195072,46.195072,
uno - SP,2024-09-09 19:11:34,45.90208,45.90208,
